CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 247.714844 1514433660.3746
MEM 247.714844 1514433660.4779
MEM 247.714844 1514433660.5816
MEM 247.714844 1514433660.6836
MEM 247.714844 1514433660.7876
MEM 247.714844 1514433660.8889
MEM 247.718750 1514433660.9941
MEM 247.718750 1514433661.0992
MEM 247.718750 1514433661.2043
MEM 247.718750 1514433661.3080
MEM 247.722656 1514433661.4128
MEM 247.722656 1514433661.5146
MEM 247.726562 1514433661.6195
MEM 247.730469 1514433661.7247
MEM 247.730469 1514433661.8298
MEM 247.734375 1514433661.9303
MEM 247.734375 1514433662.0316
MEM 247.734375 1514433662.1368
MEM 247.734375 1514433662.2394
MEM 247.738281 1514433662.3412
MEM 247.738281 1514433662.4464
MEM 247.738281 1514433662.5495
MEM 247.738281 1514433662.6547
MEM 247.738281 1514433662.7552
MEM 247.738281 1514433662.8584
MEM 247.742188 1514433662.9586
MEM 247.742188 1514433663.0638
MEM 247.742188 1514433663.1689
MEM 247.742188 1514433663.2741
MEM 247.742188 1514433663.3792
MEM 247.742188 1514433663.4844
MEM 247.746094 1514433663.5873
MEM 247.746094 1514433663.6884
MEM 247.746094 1514433663.7935
MEM 247.746094 1514433663.8987
MEM 247.746094 1514433664.0038
MEM 247.746094 1514433664.1090
MEM 247.750000 1514433664.2100
MEM 247.750000 1514433664.3152
MEM 247.753906 1514433664.4204
MEM 247.753906 1514433664.5255
MEM 247.757812 1514433664.6304
MEM 247.757812 1514433664.7356
MEM 247.757812 1514433664.8408
MEM 247.761719 1514433664.9459
MEM 247.761719 1514433665.0511
MEM 247.761719 1514433665.1563
MEM 247.761719 1514433665.2596
MEM 247.761719 1514433665.3648
MEM 247.761719 1514433665.4667
MEM 247.765625 1514433665.5685
MEM 247.765625 1514433665.6704
MEM 247.765625 1514433665.7751
MEM 247.765625 1514433665.8756
MEM 247.765625 1514433665.9804
MEM 247.765625 1514433666.0856
MEM 247.765625 1514433666.1908
MEM 247.769531 1514433666.2959
MEM 247.769531 1514433666.4010
MEM 247.769531 1514433666.5060
MEM 247.769531 1514433666.6068
MEM 247.769531 1514433666.7119
MEM 247.769531 1514433666.8140
MEM 247.773438 1514433666.9153
MEM 247.773438 1514433667.0198
MEM 247.773438 1514433667.1212
MEM 247.773438 1514433667.2248
MEM 247.773438 1514433667.3299
MEM 247.773438 1514433667.4325
MEM 247.777344 1514433667.5376
MEM 247.781250 1514433667.6387
MEM 247.785156 1514433667.7438
MEM 247.785156 1514433667.8490
MEM 247.785156 1514433667.9515
MEM 247.785156 1514433668.0566
MEM 247.785156 1514433668.1568
MEM 247.789062 1514433668.2597
MEM 247.789062 1514433668.3641
MEM 247.789062 1514433668.4692
MEM 247.789062 1514433668.5743
MEM 247.789062 1514433668.6795
MEM 247.789062 1514433668.7846
MEM 247.792969 1514433668.8855
